drug_name,num_prescriber,total_cost
HARVONI,5202,5992224931
CRESTOR,138200,2704170428
LANTUS SOLOSTAR,101227,2237740886
ADVAIR DISKUS,120044,2038388828
SPIRIVA,108356,1966173690
JANUVIA,94504,1910542851
REVLIMID,5450,1887153603
NEXIUM,107854,1761270389
LANTUS,87111,1623195115
LYRICA,103305,1526960031
XARELTO,76816,1297323891
ABILIFY,33479,1291274771
COPAXONE,5369,1236230205
ENBREL,6948,1226637814
RENVELA,14906,1167312252
ZETIA,79385,1054920638
LEVEMIR FLEXTOUCH,56847,1042650549
SYMBICORT,82341,1022802764
HUMIRA PEN,8127,1013759220
GLEEVEC,4494,985513054
SENSIPAR,14142,866726529
NAMENDA XR,48232,860249326
NOVOLOG FLEXPEN,44974,849474165
OXYCONTIN,39700,824438009
TECFIDERA,3157,792551161
ELIQUIS,45476,782353029
LEVOTHYROXINE SODIUM,226740,765490439
SOVALDI,1246,715154395
HYDROCODONE-ACETAMINOPHEN,274312,709337359
ATORVASTATIN CALCIUM,245741,700558230
DULOXETINE HCL,141438,685484274
RESTASIS,26757,676705999
ARIPIPRAZOLE,28067,637823357
TRUVADA,6569,637350550
ZYTIGA,3167,637251763
XTANDI,2765,604957870
INVEGA SUSTENNA,8237,603824804
METOPROLOL SUCCINATE,190472,589723565
NAMENDA,49430,534325461
ATRIPLA,5222,529044018
PROAIR HFA,167184,512384830
LATUDA,14339,500864921
VESICARE,49277,494466464
HUMALOG KWIKPEN U-100,28674,490328725
OXYCODONE-ACETAMINOPHEN,159507,488876014
SEROQUEL XR,20947,487204604
GABAPENTIN,248495,475729518
NOVOLOG,33594,452426477
IMBRUVICA,2194,445407132
PRADAXA,34570,440533306
OMEPRAZOLE,248385,437824045
LETAIRIS,1539,427120620
VICTOZA 3-PAK,17317,425274059
TAMSULOSIN HCL,156481,411034443
PRAVASTATIN SODIUM,169098,408600060
LUMIGAN,24982,402599681
EXELON,23341,398879527
POTASSIUM CHLORIDE,166435,396556230
TRADJENTA,29912,394889272
CELECOXIB,75509,387789741
PREZISTA,5120,383920416
LEVEMIR,28656,383534423
DEXILANT,40963,370667301
ISENTRESS,5241,367262447
JANUMET,29031,365082175
HUMALOG,30255,357904899
FENOFIBRATE,95896,348281372
COMBIVENT RESPIMAT,40364,342372349
RANEXA,23321,336203435
GILENYA,1630,327875858
BENICAR,44786,324491257
FORTEO,5159,323084055
INVOKANA,22624,316293667
TRACLEER,1415,310257550
TRAVATAN Z,26683,304303154
TARCEVA,2151,301391716
LIDOCAINE,28427,298092630
FENTANYL,61048,295798799
CLOBETASOL PROPIONATE,35213,293178602
HUMIRA,3034,293044649
MORPHINE SULFATE ER,55660,287917655
BYSTOLIC,50551,277511232
VALSARTAN,93267,275961763
HYDROXYCHLOROQUINE SULFATE,21921,272047716
NOVOLOG MIX 70-30 FLEXPEN,15060,269744801
H.P. ACTHAR,300,266197815
JAKAFI,1362,262593564
AMLODIPINE BESYLATE,247749,259716697
MYRBETRIQ,20472,258853295
DIVALPROEX SODIUM ER,39024,258310558
AVONEX PEN,2016,257795082
GAMMAGARD LIQUID,1010,257127857
SIMVASTATIN,218325,257118662
OMEGA-3 ACID ETHYL ESTERS,39539,253395839
OXYCODONE HCL,99987,252443251
VIMPAT,10216,251932966
LISINOPRIL,257496,249158356
AUBAGIO,1227,247742214
STRIBILD,2588,246403046
CREON,11060,244337266
RISPERDAL CONSTA,7696,238385774
AVONEX,2182,236228522
XIFAXAN,6705,233485698
PREMARIN,45292,230745048
INVEGA,7650,228832940
SYNTHROID,94202,228383165
POMALYST,912,228199323
RALOXIFENE HCL,38192,223061278
REYATAZ,4114,222063444
AFINITOR,1166,220635095
LOSARTAN POTASSIUM,199711,213824608
CLOPIDOGREL,177529,209751320
REBIF,1796,208797651
WELCHOL,17699,204858988
OPSUMIT,783,202972623
TIVICAY,2959,194040287
MULTAQ,11709,193698275
EPZICOM,3585,191154044
ESBRIET,958,190960144
TRIUMEQ,2093,189031883
ADCIRCA,1694,186743514
LINZESS,19886,186383771
COMBIGAN,19890,185570415
VOLTAREN,55083,181909536
AVODART,24490,178965398
BETASERON,1457,178422418
WARFARIN SODIUM,165967,178181342
BENICAR HCT,27002,176612603
QUETIAPINE FUMARATE,104518,175747702
TASIGNA,1228,175209168
METFORMIN HCL,202582,174665655
PANTOPRAZOLE SODIUM,187348,171972140
ONGLYZA,17850,171754865
SPRYCEL,1174,169053598
DONEPEZIL HCL,117245,168883045
AMITIZA,20662,167776964
IBRANCE,883,166944939
VYTORIN,22484,164839269
XENAZINE,741,160528792
METHOTREXATE,24619,158280541
AZILECT,6098,157978488
SUBOXONE,7458,157970790
NORVIR,6265,154548105
DULERA,18140,152795228
PREDNISOLONE ACETATE,21130,152071212
AMPYRA,2050,149493959
ALPHAGAN P,15483,148997146
COMPLERA,2162,148241391
FLUTICASONE PROPIONATE,175327,145953963
ZOSTAVAX,13889,142651899
ESOMEPRAZOLE MAGNESIUM,26235,142048156
MONTELUKAST SODIUM,136382,141160861
OFEV,793,139102245
METOPROLOL TARTRATE,212292,137288115
FLOVENT HFA,24673,137250391
SUBSYS,359,136848948
METFORMIN HCL ER,89364,135145797
FUROSEMIDE,229049,134604917
ULORIC,17597,134188667
EFFIENT,12035,133443454
ENOXAPARIN SODIUM,14900,132847451
XYREM,707,131941312
HUMALOG MIX 75-25 KWIKPEN,7915,131280303
ANDROGEL,8963,131159441
VIREAD,4773,130754988
OXYBUTYNIN CHLORIDE ER,68659,130003657
ORENCIA,1521,129870947
ALLOPURINOL,142607,129366783
BD ULTRA-FINE PEN NEEDLE,74020,126562328
DOXYCYCLINE HYCLATE,73359,125653506
NASONEX,22838,125050456
PATADAY,17749,124544203
OPANA ER,6115,123117506
TOLTERODINE TARTRATE ER,26983,121009859
GAMUNEX-C,630,119739822
PROCRIT,3913,119541586
LIALDA,6843,116576054
NUEDEXTA,6823,115672880
BUPROPION XL,75997,115550544
ABILIFY MAINTENA,2648,115141688
DIVALPROEX SODIUM,54454,114893317
XELJANZ,1466,113710735
CARVEDILOL,173266,112857220
PRISTIQ ER,16575,112532425
VENTOLIN HFA,69261,111924011
QVAR,22586,110523779
HUMULIN 70-30,15384,110220320
AGGRENOX,13867,109925199
HUMULIN R U-500,2477,107527995
NIACIN ER,23475,107161101
ENALAPRIL MALEATE,87370,106921274
VENLAFAXINE HCL ER,103883,106227827
LATANOPROST,53780,106139291
AZOPT,9783,105984048
ESCITALOPRAM OXALATE,135211,105709997
VALSARTAN-HYDROCHLOROTHIAZIDE,75776,105683211
DICLOFENAC SODIUM,50960,105257209
PROLASTIN C,684,103856312
SERTRALINE HCL,176564,103766045
TRAMADOL HCL,201676,101417264
NEXAVAR,559,101117901
VICTOZA 2-PAK,9576,100368845
NOVOLIN 70-30,18392,100083199
TIKOSYN,4015,99930899
NOVOLOG MIX 70-30,8961,99903643
HYDROCHLOROTHIAZIDE,206336,99729302
ALPRAZOLAM,161491,99318645
BREO ELLIPTA,10054,97461615
OLANZAPINE,52444,97315552
ADEMPAS,433,97172394
TIZANIDINE HCL,68275,96492370
TOVIAZ,14368,94450301
CLOZAPINE,16825,94334551
INTELENCE,2578,93124228
RAPAFLO,9270,92988589
ZIPRASIDONE HCL,22262,92984949
FINASTERIDE,86913,91661383
VALGANCICLOVIR HCL,1216,90360904
LEVETIRACETAM,66356,90228252
FLUOXETINE HCL,133257,89943471
ECONAZOLE NITRATE,10994,89847105
ZOLPIDEM TARTRATE,151477,89332026
BUDESONIDE EC,5265,89153542
ILEVRO,4203,89117446
MIRTAZAPINE,102113,88961649
ISOSORBIDE MONONITRATE ER,104552,88104200
PROLIA,3228,87622305
ATENOLOL,169553,86644692
HUMULIN N,14838,86333762
CHLORPROMAZINE HCL,7852,86080456
ADVAIR HFA,9049,85440469
NIFEDIPINE ER,65008,85218588
DIGOXIN,59519,84978741
SANTYL,9595,84470482
RANITIDINE HCL,132352,84350856
PREDNISONE,209989,83670246
DUREZOL,5980,83598913
DOXAZOSIN MESYLATE,70791,83586195
CINRYZE,96,83356788
CIMZIA,1183,82817773
PIOGLITAZONE HCL,56245,82256999
URSODIOL,10072,82209458
LIDOCAINE-PRILOCAINE,13223,82200179
TRAZODONE HCL,166201,81884259
CARBIDOPA-LEVODOPA,46139,81712129
COLCRYS,16030,81655225
BACLOFEN,78884,81292974
DIOVAN,17127,80943212
BRILINTA,9115,80062882
AMLODIPINE BESYLATE-BENAZEPRIL,57233,77982894
VIEKIRA PAK,134,76476418
LOSARTAN-HYDROCHLOROTHIAZIDE,111227,74959844
BRIMONIDINE TARTRATE,22356,74277349
LANSOPRAZOLE,53350,74187215
COLCHICINE,18111,73023097
DALIRESP,10202,72998401
LORAZEPAM,154605,72952237
PAROXETINE HCL,113327,72247473
AMITRIPTYLINE HCL,101722,71622203
JANUMET XR,7921,71231619
SAPHRIS,4446,71050217
OXYBUTYNIN CHLORIDE,69615,70557448
MEMANTINE HCL,28304,70552451
MODAFINIL,7608,70507887
REBIF REBIDOSE,655,70367497
GLIMEPIRIDE,94706,69938100
HUMALOG MIX 75-25,6067,69894610
EXEMESTANE,5532,69548787
HYDRALAZINE HCL,88759,69126561
POLYETHYLENE GLYCOL 3350,76127,69109510
SEROSTIM,193,68940037
VIGAMOX,5986,68511313
CITALOPRAM HBR,158640,68376289
SIMPONI,889,67760420
RISPERIDONE,69914,67497390
DILTIAZEM 24HR ER,44098,65877290
CALCIUM ACETATE,12294,65615775
CARBAMAZEPINE,32818,64616329
TUDORZA PRESSAIR,7980,64140298
CLONAZEPAM,143771,63942688
SPIRIVA RESPIMAT,6477,63182005
TIMOLOL MALEATE,29742,63143608
TARGRETIN,85,62800198
ALENDRONATE SODIUM,132530,61981710
ASACOL HD,4426,61915872
AZOR,9324,61625046
KEPPRA,2510,61503940
VOTRIENT,466,61397543
LAMICTAL,2419,60157119
LOTEMAX,6980,58877050
PATANOL,8895,58784207
SUTENT,409,58773556
LOVASTATIN,105575,58213683
SUSTIVA,2607,57443879
TRIAMCINOLONE ACETONIDE,88115,57051570
LIDODERM,5447,56987606
FOSRENOL,2100,56933982
AZITHROMYCIN,167301,56722282
ZEMAIRA,321,56545354
FLUOCINONIDE,16881,55967162
ORENITRAM ER,226,55324716
LISINOPRIL-HYDROCHLOROTHIAZIDE,129705,54978839
KALETRA,2285,54727094
FIRAZYR,47,54721910
GLUMETZA,979,54603455
METRONIDAZOLE,42857,54336762
DIGOX,44531,53577864
BYDUREON PEN,3907,53323095
CYCLOBENZAPRINE HCL,96806,53117624
PROPRANOLOL HCL ER,28661,52815824
EXJADE,428,52517479
BYETTA,4828,51691834
BUTRANS,5593,51361718
STELARA,241,51321804
MELOXICAM,138421,51213135
JUXTAPID,91,51032216
CLONIDINE,16110,50536389
METHYLPREDNISOLONE,74025,50203385
ESTRACE,8819,50089296
VAGIFEM,8619,49695977
PROLENSA,3585,49642094
CUBICIN,1004,49383879
TRIAMTERENE-HYDROCHLOROTHIAZID,98768,49124974
ELMIRON,2899,48565934
RIVASTIGMINE,11999,48276037
SPIRONOLACTONE,114776,48273738
NEUPRO,2953,47675510
CLOMIPRAMINE HCL,4444,47612267
FENOFIBRIC ACID,16768,47314420
RAMIPRIL,64730,47068454
ROPINIROLE HCL,71532,47048432
FANAPT,2048,47026168
FLUOROURACIL,7507,47025866
PENTASA,3202,46946923
KLOR-CON M20,61082,46945235
ONFI,1563,46919433
DILTIAZEM 24HR CD,51086,46861644
ATROVENT HFA,8599,46779324
DEXTROAMPHETAMINE-AMPHETAMINE,24550,46728179
BUSPIRONE HCL,70623,46723147
AZELASTINE HCL,23418,46419806
KETOCONAZOLE,38024,45662522
CARBAMAZEPINE ER,13497,45351721
APRISO,4551,45130060
BYDUREON,3878,44957812
THALOMID,345,44858101
CARTIA XT,48212,44751898
INSULIN SYRINGE,47786,44578324
NOVOLIN N,10921,44334866
BUPROPION HCL SR,61163,44061942
AMIODARONE HCL,53288,44035162
GATTEX,73,43866414
SUMATRIPTAN SUCCINATE,36985,43852226
PHENYTOIN SODIUM EXTENDED,41388,43685665
IBANDRONATE SODIUM,23000,43683559
ANORO ELLIPTA,4843,43633436
CHLORTHALIDONE,37929,43117813
BUDESONIDE,5857,42935972
TEMAZEPAM,70938,42930228
BUMETANIDE,33720,42900929
CARAFATE,8848,42543502
CLOTRIMAZOLE-BETAMETHASONE,35064,42266148
CIPROFLOXACIN HCL,161891,42258673
LEVOFLOXACIN,110165,42032211
DORZOLAMIDE-TIMOLOL,22007,41881910
VIIBRYD,8798,41356669
LABETALOL HCL,35984,41113359
NUVIGIL,3522,41024148
KOMBIGLYZE XR,5085,40714738
ENTACAPONE,5396,40014643
PROMACTA,442,39920233
CIALIS,6673,39547291
GLIPIZIDE,108408,39389033
LEFLUNOMIDE,5794,39343958
OXYMORPHONE HCL ER,3595,39262651
DEXTROAMPHETAMINE-AMPHET ER,11076,39261613
TAMIFLU,9601,39139096
FAMOTIDINE,86941,39117484
BANZEL,855,39001673
VANCOMYCIN HCL,7628,38993002
NOVOLIN R,10456,38906715
XOLAIR,663,38839795
POTASSIUM CITRATE ER,8525,38831025
OTEZLA,924,38706426
SELZENTRY,1101,38544907
IBUPROFEN,128293,38399690
ENTECAVIR,1710,38299672
AMOXICILLIN-CLAVULANATE POTASS,98183,38216817
ESTRADIOL,50289,38203504
NITROFURANTOIN MONO-MACRO,44647,38103341
LAMOTRIGINE,58640,37951039
TRIBENZOR,5661,37825644
VERAPAMIL ER,61525,37600869
NYSTATIN,50736,37441193
XALKORI,213,37432508
NEULASTA,275,37367942
PRAMIPEXOLE DIHYDROCHLORIDE,46681,37146639
VALACYCLOVIR,41835,37128028
BRINTELLIX,5016,37026727
AMANTADINE,12661,37019582
HALOPERIDOL,25819,36949398
DESONIDE,7910,36509870
SUPREP,6336,36228174
LIVALO,7479,36114967
INLYTA,181,35963071
HUMULIN R,10882,35927112
NEUPOGEN,626,35872826
PLEGRIDY PEN,304,35699925
ACETAMINOPHEN-CODEINE,81390,35445244
TOPIRAMATE,63301,35286026
OLYSIO,82,35152124
BESIVANCE,2496,35017143
PRIVIGEN,196,34397147
ASMANEX,7003,34371899
PROPRANOLOL HCL,62491,34190110
TACROLIMUS,4071,33914038
VASCEPA,3369,33792638
REMICADE,222,33750344
CARBIDOPA-LEVODOPA-ENTACAPONE,3751,33655102
OXCARBAZEPINE,25810,33603263
COREG CR,6220,33460308
ZENPEP,2404,33459919
ONDANSETRON HCL,50899,33029195
CLONIDINE HCL,103209,32880520
ACYCLOVIR,40784,32734995
NITROSTAT,50048,32398917
GLIPIZIDE ER,55140,32249588
TOPAMAX,1721,32088565
METHADONE HCL,27159,31901710
PROSOL,2049,31653062
CEFUROXIME,24569,31650440
BUPRENORPHINE-NALOXONE,3116,31609951
NADOLOL,15197,31241993
TOPROL XL,23764,30937542
NYSTATIN-TRIAMCINOLONE,10190,30929465
SUCRALFATE,33756,30679360
IRBESARTAN,38642,30639155
PREZCOBIX,688,30610247
JALYN,5653,30420430
ACTEMRA,545,30016724
ARANESP,1149,29867438
STRATTERA,4242,29755567
ISOSORBIDE DINITRATE,19722,29133117
MECLIZINE HCL,62256,29125507
AMLODIPINE-VALSARTAN,10350,28890047
FAZACLO,926,27798817
TOBRAMYCIN-DEXAMETHASONE,9285,27596461
FLECAINIDE ACETATE,15192,27500729
FLUCONAZOLE,67487,27390872
CARBIDOPA-LEVODOPA ER,13119,27314920
GILOTRIF,258,26989644
MIDODRINE HCL,15519,26943197
CELEBREX,4541,26925938
RENAGEL,1234,26894239
METOLAZONE,27346,26745785
METHYLPHENIDATE HCL,18094,26684298
JENTADUETO,2743,26650248
HUMULIN 70/30 KWIKPEN,2767,26582149
CEPHALEXIN,125408,25869602
PROPAFENONE HCL ER,2443,25769420
COUMADIN,12102,25756084
OLANZAPINE ODT,5290,25547399
VELPHORO,856,25519716
BENAZEPRIL HCL,76810,25281471
HIZENTRA,250,25227984
CALCITRIOL,21578,25226997
LEXIVA,935,25200946
DRONABINOL,3121,24940204
APOKYN,71,24930283
CALCIPOTRIENE,2670,24907664
NUCYNTA ER,2086,24867270
NORTHERA,180,24718601
TOUJEO SOLOSTAR,2020,24662336
SILDENAFIL,3019,24547625
SAVELLA,5340,24361357
TYSABRI,173,24314648
BERINERT,17,24296846
NEVANAC,2160,24207079
DILTIAZEM ER,29379,24147978
DELZICOL,2876,24014865
DIAZEPAM,92510,23845310
ERIVEDGE,146,23776213
ARALAST NP,172,23751739
BENZTROPINE MESYLATE,34079,23705785
BUTALBITAL-ACETAMINOPHEN-CAFFE,20011,23561640
FARXIGA,3086,23547446
REPAGLINIDE,8856,23497661
BETAMETHASONE DIPROPIONATE,11785,23488575
LAMICTAL XR,782,23328426
NAPROXEN,90818,23291593
AMOXICILLIN,157844,23219309
VIAGRA,2134,23211518
HYDROMORPHONE HCL,25651,23163661
GALANTAMINE HBR,8910,23150032
SIMBRINZA,5305,22982736
KETOROLAC TROMETHAMINE,10303,22918699
LAMOTRIGINE ER,2009,22851950
GEMFIBROZIL,51305,22740450
RISEDRONATE SODIUM,5224,22097060
CICLOPIROX,10601,21896450
VENLAFAXINE HCL,29062,21789718
VYVANSE,4235,21760703
NUCYNTA,2256,21677539
FONDAPARINUX SODIUM,731,21547304
CHANTIX,5169,21541504
MYCOPHENOLATE MOFETIL,7798,21480757
METHYLPHENIDATE ER,5340,21449987
VALCYTE,342,21414659
PREVACID,3290,21329926
SULFAMETHOXAZOLE-TRIMETHOPRIM,118585,21312528
MUPIROCIN,46145,21297454
PERPHENAZINE,8437,21284485
ROZEREM,4183,21165483
ALBUTEROL SULFATE,15686,21130495
CHOLESTYRAMINE,10706,20982130
ANASTROZOLE,18013,20820899
HYDROMORPHONE ER,1208,20806863
LACTULOSE,35306,20683023
PERCOCET,933,20572393
DAKLINZA,53,20571785
BENAZEPRIL-HYDROCHLOROTHIAZIDE,14060,20556541
INVANZ,2012,20497397
ACETAZOLAMIDE,7050,20436500
