drug_name,num_prescriber,total_cost
HARVONI,5221,5992222543.539986
CRESTOR,147287,2704097429.979984
LANTUS SOLOSTAR,106353,2237688500.090016
ADVAIR DISKUS,126943,2038325949.889995
SPIRIVA,114329,1966117068.1699893
JANUVIA,99050,1910493980.9600072
REVLIMID,5487,1887150891.3800027
NEXIUM,114139,1761213922.3499799
LANTUS,91197,1623149913.8100076
LYRICA,108972,1526906113.370001
XARELTO,80774,1297283899.880013
ABILIFY,34167,1291257874.0600073
COPAXONE,5398,1236227467.42
ENBREL,6995,1226634370.7200031
RENVELA,15105,1167304749.6199994
ZETIA,83267,1054879524.6399943
LEVEMIR FLEXTOUCH,58844,1042621307.9299984
SYMBICORT,86166,1022760028.4600018
HUMIRA PEN,8180,1013755194.3499982
GLEEVEC,4518,985510789.3099996
SENSIPAR,14318,866719403.6099986
NAMENDA XR,49903,860224729.1499993
NOVOLOG FLEXPEN,46231,849451339.6600096
OXYCONTIN,40864,824417773.2199913
TECFIDERA,3168,792549607.3800035
ELIQUIS,47168,782329758.3300073
LEVOTHYROXINE SODIUM,245725,765369145.5300009
SOVALDI,1248,715153858.0799998
HYDROCODONE-ACETAMINOPHEN,306651,709185336.8200064
ATORVASTATIN CALCIUM,267363,700425906.090015
DULOXETINE HCL,150377,685409843.319995
RESTASIS,27464,676692298.6700006
ARIPIPRAZOLE,28540,637809212.6300007
TRUVADA,6600,637347281.1499993
ZYTIGA,3180,637250237.5200008
XTANDI,2781,604956474.4000006
INVEGA SUSTENNA,8280,603820675.4000008
METOPROLOL SUCCINATE,205302,589621918.5099968
NAMENDA,51149,534300228.96000344
ATRIPLA,5243,529041455.45000076
PROAIR HFA,178530,512296615.05000025
LATUDA,14472,500857728.7500012
VESICARE,50963,494441108.66000104
HUMALOG KWIKPEN U-100,29245,490314208.41999704
OXYCODONE-ACETAMINOPHEN,172189,488790835.4900031
SEROQUEL XR,21243,487194058.07999885
GABAPENTIN,270302,475595818.75999117
NOVOLOG,34409,452409429.7299989
IMBRUVICA,2198,445406028.7100002
PRADAXA,35627,440515740.7500019
OMEPRAZOLE,270644,437690247.380002
LETAIRIS,1542,427119831.580001
VICTOZA 3-PAK,17542,425265433.66000026
TAMSULOSIN HCL,168687,410951158.1800051
PRAVASTATIN SODIUM,181415,408510324.96000284
LUMIGAN,25728,402586964.54999816
EXELON,23818,398867748.46999896
POTASSIUM CHLORIDE,178899,396467810.21999484
TRADJENTA,30517,394874198.7000026
CELECOXIB,79393,387750414.73999745
PREZISTA,5138,383917838.3099995
LEVEMIR,29324,383520033.4199998
DEXILANT,42177,370646521.6299998
ISENTRESS,5259,367259871.220001
JANUMET,29664,365067513.2000001
HUMALOG,30944,357889502.590001
FENOFIBRATE,155816,348204725.03000253
COMBIVENT RESPIMAT,41597,342351727.2600052
RANEXA,23881,336191521.829997
GILENYA,1633,327875057.22000027
BENICAR,46281,324468213.0099971
FORTEO,5180,323081494.71000034
INVOKANA,23021,316282282.9699996
TRACLEER,1417,310256814.84999996
TRAVATAN Z,27488,304289604.39999855
TARCEVA,2156,301390657.5399996
LIDOCAINE,28966,298078366.34999907
FENTANYL,63500,295767483.7999986
CLOBETASOL PROPIONATE,35985,293160789.10000193
HUMIRA,3043,293043137.74
MORPHINE SULFATE ER,57637,287889389.71000165
BYSTOLIC,52464,277485261.55999964
VALSARTAN,98141,275913087.44999903
HYDROXYCHLOROQUINE SULFATE,22342,272036619.15999895
NOVOLOG MIX 70-30 FLEXPEN,15246,269737283.3699997
H.P. ACTHAR,300,266197666.11000013
JAKAFI,1366,262592900.77000016
AMLODIPINE BESYLATE,269499,259583893.55999807
MYRBETRIQ,20858,258842976.85999945
DIVALPROEX SODIUM ER,39945,258290939.96000242
AVONEX PEN,2017,257794090.92000028
GAMMAGARD LIQUID,1011,257127357.52999976
SIMVASTATIN,236324,257001530.86000007
OMEGA-3 ACID ETHYL ESTERS,40583,253375738.10999894
OXYCODONE HCL,105221,252391286.3999997
VIMPAT,10299,251927907.47999978
LISINOPRIL,280447,249019386.22000003
AUBAGIO,1231,247741626.56000015
STRIBILD,2593,246401802.5500004
CREON,11187,244331711.01000002
RISPERDAL CONSTA,7734,238381943.07999933
AVONEX,2187,236227484.72000033
XIFAXAN,6748,233482363.17999923
PREMARIN,46789,230721947.5300018
INVEGA,7692,228829123.70000008
SYNTHROID,98877,228334423.9200001
POMALYST,915,228198880.47999996
RALOXIFENE HCL,39233,223041905.87000024
REYATAZ,4130,222061401.4599998
AFINITOR,1166,220634526.14999977
LOSARTAN POTASSIUM,215202,213718336.9699986
CLOPIDOGREL,191402,209656816.57999814
REBIF,1800,208796743.28999963
WELCHOL,18007,204850113.15999976
OPSUMIT,785,202972235.9499998
TIVICAY,2963,194038844.19999972
MULTAQ,11839,193692459.98999965
EPZICOM,3598,191152227.01999944
ESBRIET,958,190959715.43999994
TRIUMEQ,2094,189030852.58000016
ADCIRCA,1701,186742673.31000027
LINZESS,20222,186373660.22999972
COMBIGAN,20372,185560367.45000097
VOLTAREN,56929,181881405.4899982
AVODART,25147,178952964.69000044
BETASERON,1458,178421696.63999993
WARFARIN SODIUM,178391,178093073.93000007
BENICAR HCT,27614,176598942.62000042
QUETIAPINE FUMARATE,109966,175693262.0899951
TASIGNA,1229,175208540.91999984
METFORMIN HCL,217874,174558080.81999704
PANTOPRAZOLE SODIUM,201696,171872269.11000368
ONGLYZA,18148,171745870.23999977
SPRYCEL,1175,169053015.27000007
DONEPEZIL HCL,124139,168821714.36999643
AMITIZA,20974,167766530.2099997
IBRANCE,883,166944515.84
VYTORIN,23005,164827861.07999927
XENAZINE,741,160528433.70000023
METHOTREXATE,25155,158268181.93999884
AZILECT,6130,157975509.4500008
SUBOXONE,7530,157967081.53000042
NORVIR,6294,154544971.04000002
DULERA,18393,152786213.36999884
PREDNISOLONE ACETATE,21747,152060638.94999912
AMPYRA,2054,149492978.38999993
ALPHAGAN P,15800,148989363.74000052
COMPLERA,2163,148240321.32000017
FLUTICASONE PROPIONATE,188034,145860884.34999794
ZOSTAVAX,14116,142645581.38000065
ESOMEPRAZOLE MAGNESIUM,26843,142034908.12000033
MONTELUKAST SODIUM,145019,141089151.12999952
OFEV,793,139101906.20000002
FLOVENT HFA,25101,137237969.89999968
METOPROLOL TARTRATE,229488,137174889.15999854
SUBSYS,359,136848769.63999993
METFORMIN HCL ER,93556,135099762.94999897
FUROSEMIDE,248468,134482049.7199986
ULORIC,17865,134179789.7400011
EFFIENT,12194,133437406.91000031
ENOXAPARIN SODIUM,15061,132840050.91999975
XYREM,707,131940955.68000002
HUMALOG MIX 75-25 KWIKPEN,7965,131276379.4300002
ANDROGEL,9070,131154995.91000022
VIREAD,4817,130752617.98000014
OXYBUTYNIN CHLORIDE ER,71460,129968352.68000054
ORENCIA,1585,129870163.07000002
ALLOPURINOL,152548,129291500.0300002
BD ULTRA-FINE PEN NEEDLE,77142,126524021.04000013
DOXYCYCLINE HYCLATE,76824,125615484.19000094
NASONEX,23261,125038946.97000055
PATADAY,18097,124535271.97999999
OPANA ER,6151,123114455.0199996
TOLTERODINE TARTRATE ER,27603,120996201.57000001
GAMUNEX-C,632,119739508.15999994
PROCRIT,3931,119539669.7599999
LIALDA,6880,116572654.95999993
NUEDEXTA,6870,115669467.1299998
BUPROPION XL,79075,115511642.78000097
ABILIFY MAINTENA,2655,115140367.41000022
DIVALPROEX SODIUM,56293,114865475.4299998
XELJANZ,1469,113709995.85000004
CARVEDILOL,186363,112765373.45000054
PRISTIQ ER,16805,112524064.50000013
VENTOLIN HFA,72062,111888356.77000031
QVAR,22953,110512475.24999987
HUMULIN 70-30,15648,110212593.14999995
AGGRENOX,14086,109918277.97000049
HUMULIN R U-500,2479,107526736.45000009
NIACIN ER,24022,107149153.86999962
ENALAPRIL MALEATE,91628,106876144.74000059
VENLAFAXINE HCL ER,109355,106173724.9200011
LATANOPROST,56374,106111417.76000005
AZOPT,9946,105979129.71999985
VALSARTAN-HYDROCHLOROTHIAZIDE,79360,105644047.15000062
ESCITALOPRAM OXALATE,143621,105638908.81999958
DICLOFENAC SODIUM,52977,105231159.84999909
PROLASTIN C,684,103855972.15
SERTRALINE HCL,189218,103672398.69000003
TRAMADOL HCL,219167,101308846.0200023
NEXAVAR,559,101117623.91000012
VICTOZA 2-PAK,9651,100364038.84999992
NOVOLIN 70-30,18707,100073925.7299997
TIKOSYN,4033,99928904.8399999
NOVOLOG MIX 70-30,9030,99899175.41000006
HYDROCHLOROTHIAZIDE,222570,99619559.70000066
ALPRAZOLAM,173281,99232853.69999905
BREO ELLIPTA,10167,97456535.93999974
OLANZAPINE,54130,97288727.24999891
ADEMPAS,433,97172180.17000005
TIZANIDINE HCL,71233,96457058.49999925
TOVIAZ,14576,94443165.24999997
CLOZAPINE,17012,94326193.42
INTELENCE,2584,93122981.94999991
RAPAFLO,9398,92983914.36999987
ZIPRASIDONE HCL,22599,92973795.41999981
FINASTERIDE,92335,91615953.75000003
VALGANCICLOVIR HCL,1219,90360305.61999983
LEVETIRACETAM,68980,90194238.41000098
FLUOXETINE HCL,141476,89873780.46000063
ECONAZOLE NITRATE,11108,89841622.79999991
ZOLPIDEM TARTRATE,161874,89252015.71999739
BUDESONIDE EC,5293,89150994.61999975
ILEVRO,4245,89115349.94000027
MIRTAZAPINE,107330,88908724.8699999
ISOSORBIDE MONONITRATE ER,110593,88049560.27999958
PROLIA,3249,87620678.02000013
ATENOLOL,181964,86554515.42999956
HUMULIN N,15038,86326307.47000012
CHLORPROMAZINE HCL,7903,86076582.46000013
ADVAIR HFA,9123,85435932.04999976
NIFEDIPINE ER,67664,85185081.55999932
DIGOXIN,62196,84947870.10000002
SANTYL,9687,84465682.45999971
RANITIDINE HCL,140632,84281510.12999912
DUREZOL,6056,83595892.26000018
PREDNISONE,227771,83557422.74999943
DOXAZOSIN MESYLATE,74424,83549555.75000016
CINRYZE,96,83356736.94999996
CIMZIA,1186,82817173.89999993
PIOGLITAZONE HCL,58692,82228164.70999959
URSODIOL,10144,82204502.8799997
